id;first_name;last_name;email;department
1;Lola;Кабанова;Immanuel_40@gmail.com;modular Бетонный ул.
2;Betsy;Веселова;Bert_@mail.ru;сжать
3;Rogers;Иванов;Laisha48@ya.ru;поглотитель Account Бакалея
4;Jenifer;Фомин;Otilia90@ya.ru;индексирование Глобальный
5;Adam;Лобанов;Unique.@yahoo.com;Пластиковый
6;Bill;Коновалов;Vesta_@yahoo.com;frictionless коммуникационный
7;Brice;Алексеев;Karli.25@gmail.com;маркетинговый
8;Jovanny;Лукина;Clare28@mail.ru;Свободный
9;Johann;Хохлова;Alize67@ya.ru;North многобайтный Кулон
10;Christ;Бобылев;Ada21@yahoo.com;нейронный
